timestamp,rate,symbol,datetime
1766908800000,7.955e-05,BTC/USDT:USDT,2025-12-28 08:00:00.000
1766937600000,9.464e-05,BTC/USDT:USDT,2025-12-28 16:00:00.000
1766966400016,0.0001,BTC/USDT:USDT,2025-12-29 00:00:00.016
1766995200001,0.0001,BTC/USDT:USDT,2025-12-29 08:00:00.001
1767024000000,4.826e-05,BTC/USDT:USDT,2025-12-29 16:00:00.000
1767052800005,0.0001,BTC/USDT:USDT,2025-12-30 00:00:00.005
1767081600001,4.613e-05,BTC/USDT:USDT,2025-12-30 08:00:00.001
1767110400003,8.345e-05,BTC/USDT:USDT,2025-12-30 16:00:00.003
1767139200004,2.922e-05,BTC/USDT:USDT,2025-12-31 00:00:00.004
1767168000001,1.453e-05,BTC/USDT:USDT,2025-12-31 08:00:00.001
1767196800001,3.75e-05,BTC/USDT:USDT,2025-12-31 16:00:00.001
1767225600008,0.0001,BTC/USDT:USDT,2026-01-01 00:00:00.008
1767254400002,0.0001,BTC/USDT:USDT,2026-01-01 08:00:00.002
1767283200001,1.711e-05,BTC/USDT:USDT,2026-01-01 16:00:00.001
1767312000006,5.608e-05,BTC/USDT:USDT,2026-01-02 00:00:00.006
1767340800007,4.219e-05,BTC/USDT:USDT,2026-01-02 08:00:00.007
1767369600000,4.813e-05,BTC/USDT:USDT,2026-01-02 16:00:00.000
1767398400001,3.11e-05,BTC/USDT:USDT,2026-01-03 00:00:00.001
1767427200000,1.055e-05,BTC/USDT:USDT,2026-01-03 08:00:00.000
1767456000000,6.938e-05,BTC/USDT:USDT,2026-01-03 16:00:00.000
1767484800000,9.488e-05,BTC/USDT:USDT,2026-01-04 00:00:00.000
